product_type,epoch,period_start,period_end,asset_id,band_names,state,recipe_sha256
state,2005,,,projects/urban-sprawl-ssa/assets/sprawlgp/v1/final_dataset/states/final_state_2005,"built_state_raw,built_state_final,built_state_valid,persistence_corrected,valid_observation_count",PASS,3ed9cb7f128a3c0f4e5a47064d829dc53c1a8ad22bfd2fc242b336fad4f6f4f4
state,2010,,,projects/urban-sprawl-ssa/assets/sprawlgp/v1/final_dataset/states/final_state_2010,"built_state_raw,built_state_final,built_state_valid,persistence_corrected,valid_observation_count",PASS,1e420ce18421e84fc7bfbb4618b218b6b470b6d0e196ca488e222d4deb1aa384
state,2015,,,projects/urban-sprawl-ssa/assets/sprawlgp/v1/final_dataset/states/final_state_2015,"built_state_raw,built_state_final,built_state_valid,persistence_corrected,valid_observation_count",PASS,e21c76129eb2a08eecc3a638f0601a980e41f07c9f7f152b621efe13a723b2c3
state,2020,,,projects/urban-sprawl-ssa/assets/sprawlgp/v1/final_dataset/states/final_state_2020,"built_state_raw,built_state_final,built_state_valid,persistence_corrected,valid_observation_count",PASS,2687c6bc40e84351567f7d130d89e532bf820d6ae7a44a8fcdf88c65448c301d
state,2025,,,projects/urban-sprawl-ssa/assets/sprawlgp/v1/final_dataset/states/final_state_2025,"built_state_raw,built_state_final,built_state_valid,persistence_corrected,valid_observation_count",PASS,7bf6912668d39ba2cba3403045e9af9f6db20bd1730791fdf8f6ea458b0ec5b6
tracking_support,,,,projects/urban-sprawl-ssa/assets/sprawlgp/v1/final_dataset/support/tracking_common_support,tracking_common_support,PASS,a4a8b9487a9bbcd986849da365dce1f137984016484602ba6abf6068129471ee
transition,,2005,2010,projects/urban-sprawl-ssa/assets/sprawlgp/v1/final_dataset/transitions/transition_2005_2010,"common_valid,eligible_nonbuilt,target_transition_5y,raw_built_to_nonbuilt_reversal,persistence_correction_at_target,transition_quality",PASS,a22b7c94e68962b986d58395f2fbac0defb10284d252a862a931527dc4ec56eb
transition,,2010,2015,projects/urban-sprawl-ssa/assets/sprawlgp/v1/final_dataset/transitions/transition_2010_2015,"common_valid,eligible_nonbuilt,target_transition_5y,raw_built_to_nonbuilt_reversal,persistence_correction_at_target,transition_quality",PASS,6955d09931d64ed4ec60d2e5c26975fef9cd9b04f0ba920d443a8a9e7a24578e
transition,,2015,2020,projects/urban-sprawl-ssa/assets/sprawlgp/v1/final_dataset/transitions/transition_2015_2020,"common_valid,eligible_nonbuilt,target_transition_5y,raw_built_to_nonbuilt_reversal,persistence_correction_at_target,transition_quality",PASS,f19e5cc93e7b0b1026c2c7a6a4bbb847ed1da140cc5d6266a2f639405c93ebc6
transition,,2020,2025,projects/urban-sprawl-ssa/assets/sprawlgp/v1/final_dataset/transitions/transition_2020_2025,"common_valid,eligible_nonbuilt,target_transition_5y,raw_built_to_nonbuilt_reversal,persistence_correction_at_target,transition_quality",PASS,e8f7e7bd3f865e8faa59a20e409b9534e50e134f8116864ac1a6620e6eb7d195
